category,samples,avg_unique_domains_resolved,median_unique_domains_resolved,min_unique_domains_resolved,max_unique_domains_resolved,q1_unique_domains_resolved,q3_unique_domains_resolved,iqr_unique_domains_resolved,avg_dns_privacy_cost_pct_of_page,median_dns_privacy_cost_pct_of_page,min_dns_privacy_cost_pct_of_page,max_dns_privacy_cost_pct_of_page,q1_dns_privacy_cost_pct_of_page,q3_dns_privacy_cost_pct_of_page,iqr_dns_privacy_cost_pct_of_page
banking,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.039950788431643555,0.039950788431643555,0.039950788431643555,0.039950788431643555,0.039950788431643555,0.039950788431643555,0.0
ecommerce,1,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.8211021352448136,0.8211021352448136,0.8211021352448136,0.8211021352448136,0.8211021352448136,0.8211021352448136,0.0
health,1,13.0,13.0,13.0,13.0,13.0,13.0,0.0,3.807813967080572,3.807813967080572,3.807813967080572,3.807813967080572,3.807813967080572,3.807813967080572,0.0
news,1,17.0,17.0,17.0,17.0,17.0,17.0,0.0,3.8877152212950246,3.8877152212950246,3.8877152212950246,3.8877152212950246,3.8877152212950246,3.8877152212950246,0.0
public_admin,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.2243526200176604,1.2243526200176604,1.2243526200176604,1.2243526200176604,1.2243526200176604,1.2243526200176604,0.0
social_media,1,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.085092440854407,1.085092440854407,1.085092440854407,1.085092440854407,1.085092440854407,1.085092440854407,0.0
standards,1,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.7085463770849976,1.7085463770849976,1.7085463770849976,1.7085463770849976,1.7085463770849976,1.7085463770849976,0.0
streaming,1,6.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0415270690514236,1.0415270690514236,1.0415270690514236,1.0415270690514236,1.0415270690514236,1.0415270690514236,0.0
technology,1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.5234353453732098,0.5234353453732098,0.5234353453732098,0.5234353453732098,0.5234353453732098,0.5234353453732098,0.0
