category,samples,avg_pcap_bytes,median_pcap_bytes,min_pcap_bytes,max_pcap_bytes,q1_pcap_bytes,q3_pcap_bytes,iqr_pcap_bytes,avg_cdp_bytes,median_cdp_bytes,min_cdp_bytes,max_cdp_bytes,q1_cdp_bytes,q3_cdp_bytes,iqr_cdp_bytes,avg_overhead_bytes,median_overhead_bytes,min_overhead_bytes,max_overhead_bytes,q1_overhead_bytes,q3_overhead_bytes,iqr_overhead_bytes,avg_overhead_pct,median_overhead_pct,min_overhead_pct,max_overhead_pct,q1_overhead_pct,q3_overhead_pct,iqr_overhead_pct,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg
banking,1,75868340.0,75868340.0,75868340.0,75868340.0,75868340.0,75868340.0,0.0,40901961.0,40901961.0,40901961.0,40901961.0,40901961.0,40901961.0,0.0,34966379.0,34966379.0,34966379.0,34966379.0,34966379.0,34966379.0,0.0,85.48827035456809,85.48827035456809,85.48827035456809,85.48827035456809,85.48827035456809,85.48827035456809,0.0,0.0012667736729799998,0.0012667736729799998,0.0012667736729799998,0.0012667736729799998,0.0012667736729799998,0.0012667736729799998,0.0
ecommerce,1,6459915.0,6459915.0,6459915.0,6459915.0,6459915.0,6459915.0,0.0,4800447.0,4800447.0,4800447.0,4800447.0,4800447.0,4800447.0,0.0,1659468.0,1659468.0,1659468.0,1659468.0,1659468.0,1659468.0,0.0,34.569030759010566,34.569030759010566,34.569030759010566,34.569030759010566,34.569030759010566,34.569030759010566,0.0,0.000107861200755,0.000107861200755,0.000107861200755,0.000107861200755,0.000107861200755,0.000107861200755,0.0
health,1,2586983.0,2586983.0,2586983.0,2586983.0,2586983.0,2586983.0,0.0,1793287.0,1793287.0,1793287.0,1793287.0,1793287.0,1793287.0,0.0,793696.0,793696.0,793696.0,793696.0,793696.0,793696.0,0.0,44.259284765907516,44.259284765907516,44.259284765907516,44.259284765907516,44.259284765907516,44.259284765907516,0.0,4.3194855151e-05,4.3194855151e-05,4.3194855151e-05,4.3194855151e-05,4.3194855151e-05,4.3194855151e-05,0.0
news,1,3313450.0,3313450.0,3313450.0,3313450.0,3313450.0,3313450.0,0.0,1995826.0,1995826.0,1995826.0,1995826.0,1995826.0,1995826.0,0.0,1317624.0,1317624.0,1317624.0,1317624.0,1317624.0,1317624.0,0.0,66.01898161462974,66.01898161462974,66.01898161462974,66.01898161462974,66.01898161462974,66.01898161462974,0.0,5.532467465e-05,5.532467465e-05,5.532467465e-05,5.532467465e-05,5.532467465e-05,5.532467465e-05,0.0
public_admin,1,2475594.0,2475594.0,2475594.0,2475594.0,2475594.0,2475594.0,0.0,1972580.0,1972580.0,1972580.0,1972580.0,1972580.0,1972580.0,0.0,503014.0,503014.0,503014.0,503014.0,503014.0,503014.0,0.0,25.500309239675957,25.500309239675957,25.500309239675957,25.500309239675957,25.500309239675957,25.500309239675957,0.0,4.1334993017999996e-05,4.1334993017999996e-05,4.1334993017999996e-05,4.1334993017999996e-05,4.1334993017999996e-05,4.1334993017999996e-05,0.0
social_media,1,3491638.0,3491638.0,3491638.0,3491638.0,3491638.0,3491638.0,0.0,2764372.0,2764372.0,2764372.0,2764372.0,2764372.0,2764372.0,0.0,727266.0,727266.0,727266.0,727266.0,727266.0,727266.0,0.0,26.3085431338474,26.3085431338474,26.3085431338474,26.3085431338474,26.3085431338474,26.3085431338474,0.0,5.8299879686e-05,5.8299879686e-05,5.8299879686e-05,5.8299879686e-05,5.8299879686e-05,5.8299879686e-05,0.0
standards,1,1330517.0,1330517.0,1330517.0,1330517.0,1330517.0,1330517.0,0.0,969877.0,969877.0,969877.0,969877.0,969877.0,969877.0,0.0,360640.0,360640.0,360640.0,360640.0,360640.0,360640.0,0.0,37.18409654007673,37.18409654007673,37.18409654007673,37.18409654007673,37.18409654007673,37.18409654007673,0.0,2.2215642349e-05,2.2215642349e-05,2.2215642349e-05,2.2215642349e-05,2.2215642349e-05,2.2215642349e-05,0.0
streaming,1,4365225.0,4365225.0,4365225.0,4365225.0,4365225.0,4365225.0,0.0,3616155.0,3616155.0,3616155.0,3616155.0,3616155.0,3616155.0,0.0,749070.0,749070.0,749070.0,749070.0,749070.0,749070.0,0.0,20.7145434861061,20.7145434861061,20.7145434861061,20.7145434861061,20.7145434861061,20.7145434861061,0.0,7.2886161825e-05,7.2886161825e-05,7.2886161825e-05,7.2886161825e-05,7.2886161825e-05,7.2886161825e-05,0.0
technology,1,5790591.0,5790591.0,5790591.0,5790591.0,5790591.0,5790591.0,0.0,4101397.0,4101397.0,4101397.0,4101397.0,4101397.0,4101397.0,0.0,1689194.0,1689194.0,1689194.0,1689194.0,1689194.0,1689194.0,0.0,41.18582034365364,41.18582034365364,41.18582034365364,41.18582034365364,41.18582034365364,41.18582034365364,0.0,9.6685497927e-05,9.6685497927e-05,9.6685497927e-05,9.6685497927e-05,9.6685497927e-05,9.6685497927e-05,0.0
