site_label,category,url,origin_class,bytes,pct_of_cdp_bytes
bbc,news,https://www.bbc.com,first_party,118859,5.955378875713614
bbc,news,https://www.bbc.com,third_party,1553333,77.82907928847504
bbc,news,https://www.bbc.com,tracker_or_ads,323634,16.21554183581134
santander,banking,https://www.santander.com,third_party,303211,0.7413116451800441
santander,banking,https://www.santander.com,first_party,40598750,99.25868835481995
ine,public_admin,https://www.ine.es,first_party,1659550,84.13093512050209
ine,public_admin,https://www.ine.es,tracker_or_ads,302310,15.325614170274463
ine,public_admin,https://www.ine.es,third_party,10720,0.5434507092234536
amazon,ecommerce,https://www.amazon.com,first_party,201850,4.20481675977258
amazon,ecommerce,https://www.amazon.com,third_party,4592158,95.66104989806158
amazon,ecommerce,https://www.amazon.com,tracker_or_ads,6439,0.13413334216584413
github,technology,https://github.com,third_party,3963669,96.64192469053837
github,technology,https://github.com,first_party,137728,3.35807530946163
twitter,social_media,https://x.com,third_party,2583593,93.46039534476547
twitter,social_media,https://x.com,first_party,180779,6.539604655234535
youtube,streaming,https://www.youtube.com,first_party,3451235,95.43935478429437
youtube,streaming,https://www.youtube.com,third_party,164920,4.560645215705632
webmd,health,https://www.webmd.com,first_party,77917,4.344926383785753
webmd,health,https://www.webmd.com,third_party,1692485,94.37892540346301
webmd,health,https://www.webmd.com,tracker_or_ads,22885,1.2761482127512218
ietf,standards,https://www.ietf.org,first_party,969877,100.0
