site_label,samples,avg_pcap_bytes,median_pcap_bytes,min_pcap_bytes,max_pcap_bytes,stdev_pcap_bytes,q1_pcap_bytes,q3_pcap_bytes,iqr_pcap_bytes,avg_cdp_bytes,median_cdp_bytes,min_cdp_bytes,max_cdp_bytes,stdev_cdp_bytes,q1_cdp_bytes,q3_cdp_bytes,iqr_cdp_bytes,avg_overhead_bytes,median_overhead_bytes,min_overhead_bytes,max_overhead_bytes,stdev_overhead_bytes,q1_overhead_bytes,q3_overhead_bytes,iqr_overhead_bytes,avg_overhead_pct,median_overhead_pct,min_overhead_pct,max_overhead_pct,stdev_overhead_pct,q1_overhead_pct,q3_overhead_pct,iqr_overhead_pct,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,stdev_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg,category,data_quality_flag
amazon,1,6311065.0,6311065.0,6311065.0,6311065.0,0.0,6311065.0,6311065.0,0.0,4519935.0,4519935.0,4519935.0,4519935.0,0.0,4519935.0,4519935.0,0.0,1791130.0,1791130.0,1791130.0,1791130.0,0.0,1791130.0,1791130.0,0.0,39.62733977369143,39.62733977369143,39.62733977369143,39.62733977369143,0.0,39.62733977369143,39.62733977369143,0.0,0.000105375852305,0.000105375852305,0.000105375852305,0.000105375852305,0.0,0.000105375852305,0.000105375852305,0.0,ecommerce,
bbc,1,2771152.0,2771152.0,2771152.0,2771152.0,0.0,2771152.0,2771152.0,0.0,1997362.0,1997362.0,1997362.0,1997362.0,0.0,1997362.0,1997362.0,0.0,773790.0,773790.0,773790.0,773790.0,0.0,773790.0,773790.0,0.0,38.74059884988299,38.74059884988299,38.74059884988299,38.74059884988299,0.0,38.74059884988299,38.74059884988299,0.0,4.6269924944e-05,4.6269924944e-05,4.6269924944e-05,4.6269924944e-05,0.0,4.6269924944e-05,4.6269924944e-05,0.0,news,
github,1,5821355.0,5821355.0,5821355.0,5821355.0,0.0,5821355.0,5821355.0,0.0,4108221.0,4108221.0,4108221.0,4108221.0,0.0,4108221.0,4108221.0,0.0,1713134.0,1713134.0,1713134.0,1713134.0,0.0,1713134.0,1713134.0,0.0,41.70014222701261,41.70014222701261,41.70014222701261,41.70014222701261,0.0,41.70014222701261,41.70014222701261,0.0,9.7199164435e-05,9.7199164435e-05,9.7199164435e-05,9.7199164435e-05,0.0,9.7199164435e-05,9.7199164435e-05,0.0,technology,
ietf,1,1392756.0,1392756.0,1392756.0,1392756.0,0.0,1392756.0,1392756.0,0.0,967028.0,967028.0,967028.0,967028.0,0.0,967028.0,967028.0,0.0,425728.0,425728.0,425728.0,425728.0,0.0,425728.0,425728.0,0.0,44.024371579726754,44.024371579726754,44.024371579726754,44.024371579726754,0.0,44.024371579726754,44.024371579726754,0.0,2.3254846932e-05,2.3254846932e-05,2.3254846932e-05,2.3254846932e-05,0.0,2.3254846932e-05,2.3254846932e-05,0.0,standards,
ine,1,2752879.0,2752879.0,2752879.0,2752879.0,0.0,2752879.0,2752879.0,0.0,2133648.0,2133648.0,2133648.0,2133648.0,0.0,2133648.0,2133648.0,0.0,619231.0,619231.0,619231.0,619231.0,0.0,619231.0,619231.0,0.0,29.0221723545777,29.0221723545777,29.0221723545777,29.0221723545777,0.0,29.0221723545777,29.0221723545777,0.0,4.5964820663e-05,4.5964820663e-05,4.5964820663e-05,4.5964820663e-05,0.0,4.5964820663e-05,4.5964820663e-05,0.0,public_admin,
santander,1,76033316.0,76033316.0,76033316.0,76033316.0,0.0,76033316.0,76033316.0,0.0,41156255.0,41156255.0,41156255.0,41156255.0,0.0,41156255.0,41156255.0,0.0,34877061.0,34877061.0,34877061.0,34877061.0,0.0,34877061.0,34877061.0,0.0,84.7430384518708,84.7430384518708,84.7430384518708,84.7430384518708,0.0,84.7430384518708,84.7430384518708,0.0,0.0012695282772519998,0.0012695282772519998,0.0012695282772519998,0.0012695282772519998,0.0,0.0012695282772519998,0.0012695282772519998,0.0,banking,
twitter,1,3393030.0,3393030.0,3393030.0,3393030.0,0.0,3393030.0,3393030.0,0.0,2595986.0,2595986.0,2595986.0,2595986.0,0.0,2595986.0,2595986.0,0.0,797044.0,797044.0,797044.0,797044.0,0.0,797044.0,797044.0,0.0,30.702939075942627,30.702939075942627,30.702939075942627,30.702939075942627,0.0,30.702939075942627,30.702939075942627,0.0,5.6653421909999994e-05,5.6653421909999994e-05,5.6653421909999994e-05,5.6653421909999994e-05,0.0,5.6653421909999994e-05,5.6653421909999994e-05,0.0,social_media,
webmd,1,2605770.0,2605770.0,2605770.0,2605770.0,0.0,2605770.0,2605770.0,0.0,1789522.0,1789522.0,1789522.0,1789522.0,0.0,1789522.0,1789522.0,0.0,816248.0,816248.0,816248.0,816248.0,0.0,816248.0,816248.0,0.0,45.61262728259278,45.61262728259278,45.61262728259278,45.61262728259278,0.0,45.61262728259278,45.61262728259278,0.0,4.3508541689999995e-05,4.3508541689999995e-05,4.3508541689999995e-05,4.3508541689999995e-05,0.0,4.3508541689999995e-05,4.3508541689999995e-05,0.0,health,
wikipedia,1,351484.0,351484.0,351484.0,351484.0,0.0,351484.0,351484.0,0.0,80863.0,80863.0,80863.0,80863.0,0.0,80863.0,80863.0,0.0,270621.0,270621.0,270621.0,270621.0,0.0,270621.0,270621.0,0.0,334.6660400925021,334.6660400925021,334.6660400925021,334.6660400925021,0.0,334.6660400925021,334.6660400925021,0.0,5.868728347999999e-06,5.868728347999999e-06,5.868728347999999e-06,5.868728347999999e-06,0.0,5.868728347999999e-06,5.868728347999999e-06,0.0,education,statistical_outlier
youtube,1,4356697.0,4356697.0,4356697.0,4356697.0,0.0,4356697.0,4356697.0,0.0,3630429.0,3630429.0,3630429.0,3630429.0,0.0,3630429.0,3630429.0,0.0,726268.0,726268.0,726268.0,726268.0,0.0,726268.0,726268.0,0.0,20.005018690628575,20.005018690628575,20.005018690628575,20.005018690628575,0.0,20.005018690628575,20.005018690628575,0.0,7.2743769809e-05,7.2743769809e-05,7.2743769809e-05,7.2743769809e-05,0.0,7.2743769809e-05,7.2743769809e-05,0.0,streaming,
