connection_mode,site_label,category,unique_domains_resolved,dns_overhead_per_resolution_bytes,dns_privacy_cost_bytes,dns_privacy_cost_pct_of_page,data_quality_flag
cold_start,bbc,news,17,8403.100000000002,142852.70000000004,5.154993302424408,
cold_start,santander,banking,4,8403.100000000002,33612.40000000001,0.04420746294953124,
cold_start,ine,public_admin,4,8403.100000000002,33612.40000000001,1.2209908245149899,
cold_start,wikipedia,education,1,8403.100000000002,8403.100000000002,2.3907489387852654,statistical_outlier
cold_start,amazon,ecommerce,8,8403.100000000002,67224.80000000002,1.0651894727751976,
cold_start,github,technology,4,8403.100000000002,33612.40000000001,0.5773982174253247,
cold_start,twitter,social_media,5,8403.100000000002,42015.500000000015,1.2382884914073855,
cold_start,youtube,streaming,6,8403.100000000002,50418.60000000001,1.157266617347959,
cold_start,webmd,health,13,8403.100000000002,109240.30000000003,4.19224643771323,
cold_start,ietf,standards,3,8403.100000000002,25209.300000000007,1.8100298975556384,
