category,samples,avg_unique_domains_resolved,median_unique_domains_resolved,min_unique_domains_resolved,max_unique_domains_resolved,stdev_unique_domains_resolved,q1_unique_domains_resolved,q3_unique_domains_resolved,iqr_unique_domains_resolved,avg_dns_privacy_cost_pct_of_page,median_dns_privacy_cost_pct_of_page,min_dns_privacy_cost_pct_of_page,max_dns_privacy_cost_pct_of_page,stdev_dns_privacy_cost_pct_of_page,q1_dns_privacy_cost_pct_of_page,q3_dns_privacy_cost_pct_of_page,iqr_dns_privacy_cost_pct_of_page
banking,1,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.04420746294953124,0.04420746294953124,0.04420746294953124,0.04420746294953124,0.0,0.04420746294953124,0.04420746294953124,0.0
ecommerce,1,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,1.0651894727751976,1.0651894727751976,1.0651894727751976,1.0651894727751976,0.0,1.0651894727751976,1.0651894727751976,0.0
health,1,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,4.19224643771323,4.19224643771323,4.19224643771323,4.19224643771323,0.0,4.19224643771323,4.19224643771323,0.0
news,1,17.0,17.0,17.0,17.0,0.0,17.0,17.0,0.0,5.154993302424408,5.154993302424408,5.154993302424408,5.154993302424408,0.0,5.154993302424408,5.154993302424408,0.0
public_admin,1,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,1.2209908245149899,1.2209908245149899,1.2209908245149899,1.2209908245149899,0.0,1.2209908245149899,1.2209908245149899,0.0
social_media,1,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,1.2382884914073855,1.2382884914073855,1.2382884914073855,1.2382884914073855,0.0,1.2382884914073855,1.2382884914073855,0.0
standards,1,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,1.8100298975556384,1.8100298975556384,1.8100298975556384,1.8100298975556384,0.0,1.8100298975556384,1.8100298975556384,0.0
streaming,1,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,1.157266617347959,1.157266617347959,1.157266617347959,1.157266617347959,0.0,1.157266617347959,1.157266617347959,0.0
technology,1,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.5773982174253247,0.5773982174253247,0.5773982174253247,0.5773982174253247,0.0,0.5773982174253247,0.5773982174253247,0.0
