protocol,samples,avg_bytes,median_bytes,min_bytes,max_bytes,stdev_bytes,q1_bytes,q3_bytes,iqr_bytes,avg_energy_kwh,median_energy_kwh,min_energy_kwh,max_energy_kwh,stdev_energy_kwh,q1_energy_kwh,q3_energy_kwh,iqr_energy_kwh,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,stdev_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg,avg_bytes_per_query,median_bytes_per_query,min_bytes_per_query,max_bytes_per_query,stdev_bytes_per_query,q1_bytes_per_query,q3_bytes_per_query,iqr_bytes_per_query,avg_energy_kwh_per_query,median_energy_kwh_per_query,min_energy_kwh_per_query,max_energy_kwh_per_query,stdev_energy_kwh_per_query,q1_energy_kwh_per_query,q3_energy_kwh_per_query,iqr_energy_kwh_per_query,avg_co2_kg_per_query,median_co2_kg_per_query,min_co2_kg_per_query,max_co2_kg_per_query,stdev_co2_kg_per_query,q1_co2_kg_per_query,q3_co2_kg_per_query,iqr_co2_kg_per_query,avg_num_bursts,median_num_bursts,min_num_bursts,max_num_bursts,stdev_num_bursts,q1_num_bursts,q3_num_bursts,iqr_num_bursts,avg_avg_burst_bytes,median_avg_burst_bytes,min_avg_burst_bytes,max_avg_burst_bytes,stdev_avg_burst_bytes,q1_avg_burst_bytes,q3_avg_burst_bytes,iqr_avg_burst_bytes,avg_handshake_bytes,median_handshake_bytes,min_handshake_bytes,max_handshake_bytes,stdev_handshake_bytes,q1_handshake_bytes,q3_handshake_bytes,iqr_handshake_bytes,avg_control_bytes,median_control_bytes,min_control_bytes,max_control_bytes,stdev_control_bytes,q1_control_bytes,q3_control_bytes,iqr_control_bytes,avg_payload_bytes,median_payload_bytes,min_payload_bytes,max_payload_bytes,stdev_payload_bytes,q1_payload_bytes,q3_payload_bytes,iqr_payload_bytes
dns,10,1089.3,1051.5,1015.0,1235.0,76.89393849828332,1030.5,1170.5,140.0,6.42687e-08,6.20385e-08,5.9885e-08,7.2865e-08,4.536742371398715e-09,6.079950000000001e-08,6.90595e-08,8.259999999999983e-09,1.81880421e-08,1.75568955e-08,1.6947455e-08,2.0620794999999997e-08,1.2838980911058363e-09,1.72062585e-08,1.95438385e-08,2.3375799999999993e-09,217.85999999999999,210.3,203.0,247.0,15.378787699656664,206.1,234.1,28.0,1.285374e-08,1.2407700000000001e-08,1.1976999999999999e-08,1.4573e-08,9.07348474279743e-10,1.2159900000000002e-08,1.3811900000000001e-08,1.6519999999999988e-09,3.63760842e-09,3.5113791e-09,3.389491e-09,4.124159e-09,2.5677961822116725e-10,3.4412517000000004e-09,3.9087677e-09,4.675159999999996e-10,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,108.92999999999999,105.15,101.5,123.5,7.689393849828332,103.05,117.05,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,420.0,420.0,0.0,420.0,420.0,0.0,669.3,631.5,595.0,815.0,76.89393849828332,610.5,750.5,140.0
doh,10,42756.5,43067.0,39634.0,45909.0,2081.057543654187,40863.0,44032.5,3169.5,2.5226335e-06,2.540953e-06,2.338406e-06,2.7086310000000004e-06,1.2278239507559705e-07,2.4109170000000003e-06,2.5979175000000005e-06,1.870005000000002e-07,7.139052805e-07,7.190896989999999e-07,6.61768898e-07,7.66542573e-07,3.474741780639396e-08,6.822895110000001e-07,7.352106525e-07,5.292114149999993e-08,8551.3,8613.400000000001,7926.8,9181.8,416.2115087308375,8172.599999999999,8806.5,633.9000000000005,5.045267000000001e-07,5.081906000000001e-07,4.6768120000000003e-07,5.417262000000001e-07,2.4556479015119408e-08,4.821834e-07,5.195834999999999e-07,3.740009999999989e-08,1.427810561e-07,1.4381793979999998e-07,1.323537796e-07,1.5330851460000002e-07,6.949483561278789e-09,1.3645790220000002e-07,1.4704213050000002e-07,1.0584228300000002e-08,65.0,67.5,54.0,70.0,5.6960024968783545,61.25,69.0,7.75,661.6254318836804,653.2842405618965,574.4057971014493,763.8333333333334,55.88360176726882,624.598447204969,707.0004807692308,82.40203356426173,32532.5,33039.0,29127.0,36236.0,2347.563050863124,29929.25,34018.0,4088.75,4778.8,4792.0,4270.0,5038.0,219.41376438136237,4699.0,4933.0,234.0,5445.2,5445.0,4743.0,6348.0,576.1351693251622,4933.25,5861.75,928.5
doq,10,46602.0,43996.0,42352.0,72725.0,9213.027720449873,43248.75,44490.5,1241.75,2.749518e-06,2.5957640000000005e-06,2.498768e-06,4.2907750000000004e-06,5.435686355065426e-07,2.55167625e-06,2.6249395e-06,7.32632500000001e-08,7.78113594e-07,7.346012120000001e-07,7.07151344e-07,1.214289325e-06,1.5382992384835155e-07,7.2212437875e-07,7.428578785000001e-07,2.073349975000007e-08,9320.4,8799.2,8470.4,14545.0,1842.6055440899747,8649.75,8898.1,248.35000000000036,5.499036000000001e-07,5.191528e-07,4.997536e-07,8.581550000000001e-07,1.0871372710130852e-07,5.103352500000001e-07,5.249879e-07,1.4652649999999914e-08,1.556227188e-07,1.469202424e-07,1.414302688e-07,2.4285786500000003e-07,3.076598476967031e-08,1.4442487575e-07,1.4857157570000003e-07,4.14669995000003e-09,44.2,43.0,37.0,59.0,6.338594306135847,39.0,47.0,8.0,1053.823946847827,1024.9064095292115,925.8936170212766,1232.6271186440679,106.00473409816357,942.7340425531914,1146.43762993763,203.7035873844385,43512.9,40834.5,39271.0,69455.0,9147.429128206217,40270.5,41404.25,1133.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3089.1,3024.0,2885.0,3362.0,174.20833632304868,2944.75,3279.75,335.0
