experiment,timestamp,site_label,category,domain,protocol,resolver_name,resolver_host,repetitions,failed_queries,pcap_file,bytes,energy_kwh,co2_kg,num_bursts,num_bursts_out,num_bursts_in,avg_burst_bytes,burst_file,keylog_file,handshake_bytes,control_bytes,payload_bytes,connection_mode
dns,1784233599,github,technology,github.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233599.pcap,44268,2.6118120000000005e-06,7.391427960000001e-07,47,24,23,941.8723404255319,results/20260716_222204/dns_doq_1784233599_bursts.json,results/20260716_222204/dns_doq_1784233599.keylog,40959,0,3309,cold_start
dns,1784233651,twitter,social_media,x.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233651.pcap,1033,6.094700000000001e-08,1.7248001e-08,10,5,5,103.3,results/20260716_222204/dns_dns_1784233651_bursts.json,,0,420,613,cold_start
dns,1784233654,twitter,social_media,x.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233654.pcap,39634,2.338406e-06,6.61768898e-07,69,35,34,574.4057971014493,results/20260716_222204/dns_doh_1784233654_bursts.json,results/20260716_222204/dns_doh_1784233654.keylog,29306,4786,5542,cold_start
dns,1784233659,twitter,social_media,x.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233659.pcap,44702,2.6374180000000004e-06,7.463892940000001e-07,39,20,19,1146.2051282051282,results/20260716_222204/dns_doq_1784233659_bursts.json,results/20260716_222204/dns_doq_1784233659.keylog,41753,0,2949,cold_start
dns,1784233708,youtube,streaming,youtube.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233708.pcap,1053,6.2127e-08,1.7581941e-08,10,5,5,105.3,results/20260716_222204/dns_dns_1784233708_bursts.json,,0,420,633,cold_start
dns,1784233712,youtube,streaming,youtube.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233712.pcap,43162,2.546558e-06,7.206759139999999e-07,69,35,34,625.536231884058,results/20260716_222204/dns_doh_1784233712_bursts.json,results/20260716_222204/dns_doh_1784233712.keylog,33266,4930,4966,cold_start
dns,1784233717,youtube,streaming,youtube.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233717.pcap,72725,4.2907750000000004e-06,1.214289325e-06,59,30,29,1232.6271186440679,results/20260716_222204/dns_doq_1784233717_bursts.json,results/20260716_222204/dns_doq_1784233717.keylog,69455,0,3270,cold_start
dns,1784233771,webmd,health,webmd.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233771.pcap,1045,6.1655e-08,1.7448365e-08,10,5,5,104.5,results/20260716_222204/dns_dns_1784233771_bursts.json,,0,420,625,cold_start
dns,1784233775,webmd,health,webmd.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233775.pcap,43138,2.5451420000000003e-06,7.20275186e-07,69,35,34,625.1884057971015,results/20260716_222204/dns_doh_1784233775_bursts.json,results/20260716_222204/dns_doh_1784233775.keylog,32848,4942,5348,cold_start
dns,1784233779,webmd,health,webmd.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233779.pcap,43517,2.5675030000000003e-06,7.26603349e-07,47,24,23,925.8936170212766,results/20260716_222204/dns_doq_1784233779_bursts.json,results/20260716_222204/dns_doq_1784233779.keylog,40554,0,2963,cold_start
dns,1784233821,ietf,standards,ietf.org,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233821.pcap,1050,6.195000000000001e-08,1.753185e-08,10,5,5,105.0,results/20260716_222204/dns_dns_1784233821_bursts.json,,0,420,630,cold_start
dns,1784233825,ietf,standards,ietf.org,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233825.pcap,45336,2.674824e-06,7.569751919999999e-07,67,34,33,676.6567164179105,results/20260716_222204/dns_doh_1784233825_bursts.json,results/20260716_222204/dns_doh_1784233825.keylog,34897,4798,5641,cold_start
dns,1784233829,ietf,standards,ietf.org,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233829.pcap,43546,2.5692140000000003e-06,7.27087562e-07,43,22,21,1012.6976744186046,results/20260716_222204/dns_doq_1784233829_bursts.json,results/20260716_222204/dns_doq_1784233829.keylog,40661,0,2885,cold_start
