resource_type,bytes,pct_of_cdp_bytes,samples
Image,135629269.0,36.01869544755202,83
Script,114941001.0,30.52456847980042,84
Media,73233558.0,19.448436473860493,13
Font,19598638.0,5.2047568973391725,79
Stylesheet,10858496.0,2.883661198840951,83
Document,7004252.0,1.860100120615611,85
Fetch,6808852.0,1.8082082749812318,59
XHR,5716282.0,1.5180574367788087,68
Other,2656117.0,0.7053777551220565,85
Ping,65634.0,0.017430242560730967,28
Manifest,40320.0,0.010707672548506453,21
Preflight,0.0,0.0,32
