experiment,timestamp,site_label,category,url,use_cdp,pcap_file,profile_file,pcap_bytes,cdp_bytes,cdp_network_bytes,cdp_cached_bytes,capture_scoped_to_chrome_ports,overhead_bytes,overhead_pct,web_handshake_bytes,web_control_bytes,web_payload_bytes,energy_kwh,co2_kg,num_bursts,num_bursts_out,num_bursts_in,avg_burst_bytes,burst_file,keylog_file,preamble_noise_bytes
web,1783934574,bbc,news,https://www.bbc.com,True,results/20260713_112236/web_1783934574.pcap,results/20260713_112236/web_profile_1783934574.json,3313450,1995826,1995826,0,True,1317624,66.01898161462974,392570,54628,2866252,0.00019549355,5.532467465e-05,695,348,347,4767.553956834532,results/20260713_112236/web_1783934574_bursts.json,results/20260713_112236/web_1783934574.keylog,84369
web,1783934619,santander,banking,https://www.santander.com,True,results/20260713_112236/web_1783934619.pcap,results/20260713_112236/web_profile_1783934619.json,75868340,40901961,40901961,0,True,34966379,85.48827035456809,191368,208654,75468318,0.00447623206,0.0012667736729799998,4691,2346,2345,16173.169899808143,results/20260713_112236/web_1783934619_bursts.json,results/20260713_112236/web_1783934619.keylog,18201
web,1783934666,ine,public_admin,https://www.ine.es,True,results/20260713_112236/web_1783934666.pcap,results/20260713_112236/web_profile_1783934666.json,2475594,1972580,1972580,0,True,503014,25.500309239675957,150193,51208,2274193,0.000146060046,4.1334993017999996e-05,529,265,264,4679.761814744801,results/20260713_112236/web_1783934666_bursts.json,results/20260713_112236/web_1783934666.keylog,40928
web,1783934709,wikipedia,education,https://www.wikipedia.org,True,results/20260713_112236/web_1783934709.pcap,results/20260713_112236/web_profile_1783934709.json,319356,82970,82970,0,True,236386,284.905387489454,148890,13786,156680,1.8842004e-05,5.332287132e-06,225,113,112,1419.36,results/20260713_112236/web_1783934709_bursts.json,results/20260713_112236/web_1783934709.keylog,87659
web,1783934751,amazon,ecommerce,https://www.amazon.com,True,results/20260713_112236/web_1783934751.pcap,results/20260713_112236/web_profile_1783934751.json,6459915,4800447,4800447,0,True,1659468,34.569030759010566,611206,69234,5779475,0.00038113498500000006,0.000107861200755,1283,642,641,5035.007794232268,results/20260713_112236/web_1783934751_bursts.json,results/20260713_112236/web_1783934751.keylog,10740
web,1783934795,github,technology,https://github.com,True,results/20260713_112236/web_1783934795.pcap,results/20260713_112236/web_profile_1783934795.json,5790591,4101397,4101397,0,True,1689194,41.18582034365364,168145,26314,5596132,0.00034164486900000005,9.6685497927e-05,441,221,220,13130.591836734693,results/20260713_112236/web_1783934795_bursts.json,results/20260713_112236/web_1783934795.keylog,536
web,1783934838,twitter,social_media,https://x.com,True,results/20260713_112236/web_1783934838.pcap,results/20260713_112236/web_profile_1783934838.json,3491638,2764372,2764372,0,True,727266,26.3085431338474,216699,38180,3236759,0.00020600664200000002,5.8299879686e-05,529,265,264,6600.449905482042,results/20260713_112236/web_1783934838_bursts.json,results/20260713_112236/web_1783934838.keylog,19548
web,1783934881,youtube,streaming,https://www.youtube.com,True,results/20260713_112236/web_1783934881.pcap,results/20260713_112236/web_profile_1783934881.json,4365225,3616155,3616155,0,True,749070,20.7145434861061,235212,19048,4110965,0.000257548275,7.2886161825e-05,627,314,313,6962.081339712919,results/20260713_112236/web_1783934881_bursts.json,results/20260713_112236/web_1783934881.keylog,49022
web,1783934925,webmd,health,https://www.webmd.com,True,results/20260713_112236/web_1783934925.pcap,results/20260713_112236/web_profile_1783934925.json,2586983,1793287,1793287,0,True,793696,44.259284765907516,306720,36204,2244059,0.00015263199700000002,4.3194855151e-05,575,288,287,4499.100869565217,results/20260713_112236/web_1783934925_bursts.json,results/20260713_112236/web_1783934925.keylog,367522
web,1783934969,ietf,standards,https://www.ietf.org,True,results/20260713_112236/web_1783934969.pcap,results/20260713_112236/web_profile_1783934969.json,1330517,969877,969877,0,True,360640,37.18409654007673,102209,7776,1220532,7.8500503e-05,2.2215642349e-05,223,112,111,5966.443946188341,results/20260713_112236/web_1783934969_bursts.json,results/20260713_112236/web_1783934969.keylog,2948
