experiment,timestamp,site_label,category,domain,protocol,resolver_name,resolver_host,repetitions,failed_queries,pcap_file,bytes,energy_kwh,co2_kg,num_bursts,num_bursts_out,num_bursts_in,avg_burst_bytes,burst_file,keylog_file,handshake_bytes,control_bytes,payload_bytes,connection_mode
dns,1783934556,bbc,news,bbc.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934556.pcap,1023,6.0357e-08,1.7081031e-08,10,5,5,102.3,results/20260713_112236/dns_dns_1783934556_bursts.json,,0,420,603,cold_start
dns,1783934566,bbc,news,bbc.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934566.pcap,38845,2.2918550000000003e-06,6.48594965e-07,55,28,27,706.2727272727273,results/20260713_112236/dns_doh_1783934566_bursts.json,results/20260713_112236/dns_doh_1783934566.keylog,29989,4006,4850,cold_start
dns,1783934570,bbc,news,bbc.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934570.pcap,42212,2.4905080000000003e-06,7.048137640000001e-07,41,21,20,1029.560975609756,results/20260713_112236/dns_doq_1783934570_bursts.json,results/20260713_112236/dns_doq_1783934570.keylog,39269,0,2943,cold_start
dns,1783934608,santander,banking,santander.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934608.pcap,1235,7.2865e-08,2.0620794999999997e-08,10,5,5,123.5,results/20260713_112236/dns_dns_1783934608_bursts.json,,0,420,815,cold_start
dns,1783934611,santander,banking,santander.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934611.pcap,39056,2.3043040000000002e-06,6.521180320000001e-07,55,28,27,710.1090909090909,results/20260713_112236/dns_doh_1783934611_bursts.json,results/20260713_112236/dns_doh_1783934611.keylog,30025,4072,4959,cold_start
dns,1783934614,santander,banking,santander.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934614.pcap,106864,6.304976e-06,1.784308208e-06,93,47,46,1149.0752688172042,results/20260713_112236/dns_doq_1783934614_bursts.json,results/20260713_112236/dns_doq_1783934614.keylog,103795,0,3069,cold_start
dns,1783934655,ine,public_admin,ine.es,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934655.pcap,1015,5.9885e-08,1.6947455e-08,10,5,5,101.5,results/20260713_112236/dns_dns_1783934655_bursts.json,,0,420,595,cold_start
dns,1783934659,ine,public_admin,ine.es,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934659.pcap,39042,2.303478e-06,6.518842739999999e-07,55,28,27,709.8545454545455,results/20260713_112236/dns_doh_1783934659_bursts.json,results/20260713_112236/dns_doh_1783934659.keylog,29314,4216,5512,cold_start
dns,1783934662,ine,public_admin,ine.es,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934662.pcap,42201,2.489859e-06,7.046300969999999e-07,41,21,20,1029.2926829268292,results/20260713_112236/dns_doq_1783934662_bursts.json,results/20260713_112236/dns_doq_1783934662.keylog,39271,0,2930,cold_start
dns,1783934698,wikipedia,education,wikipedia.org,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934698.pcap,1095,6.4605e-08,1.8283214999999998e-08,10,5,5,109.5,results/20260713_112236/dns_dns_1783934698_bursts.json,,0,420,675,cold_start
dns,1783934701,wikipedia,education,wikipedia.org,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934701.pcap,39322,2.3199979999999998e-06,6.565594339999999e-07,63,32,31,624.1587301587301,results/20260713_112236/dns_doh_1783934701_bursts.json,results/20260713_112236/dns_doh_1783934701.keylog,29991,4402,4929,cold_start
dns,1783934705,wikipedia,education,wikipedia.org,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934705.pcap,42283,2.494697e-06,7.059992509999999e-07,41,21,20,1031.2926829268292,results/20260713_112236/dns_doq_1783934705_bursts.json,results/20260713_112236/dns_doq_1783934705.keylog,39270,0,3013,cold_start
dns,1783934741,amazon,ecommerce,amazon.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934741.pcap,1166,6.879400000000001e-08,1.9468702e-08,10,5,5,116.6,results/20260713_112236/dns_dns_1783934741_bursts.json,,0,420,746,cold_start
dns,1783934744,amazon,ecommerce,amazon.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934744.pcap,38798,2.289082e-06,6.47810206e-07,53,27,26,732.0377358490566,results/20260713_112236/dns_doh_1783934744_bursts.json,results/20260713_112236/dns_doh_1783934744.keylog,30064,3940,4794,cold_start
dns,1783934747,amazon,ecommerce,amazon.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934747.pcap,42356,2.4990040000000002e-06,7.07218132e-07,39,20,19,1086.051282051282,results/20260713_112236/dns_doq_1783934747_bursts.json,results/20260713_112236/dns_doq_1783934747.keylog,39272,0,3084,cold_start
dns,1783934784,github,technology,github.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934784.pcap,1123,6.625700000000001e-08,1.8750731e-08,10,5,5,112.3,results/20260713_112236/dns_dns_1783934784_bursts.json,,0,420,703,cold_start
dns,1783934787,github,technology,github.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934787.pcap,38880,2.2939200000000003e-06,6.491793600000001e-07,51,26,25,762.3529411764706,results/20260713_112236/dns_doh_1783934787_bursts.json,results/20260713_112236/dns_doh_1783934787.keylog,30026,4006,4848,cold_start
dns,1783934791,github,technology,github.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934791.pcap,42433,2.5035470000000005e-06,7.085038010000001e-07,41,21,20,1034.9512195121952,results/20260713_112236/dns_doq_1783934791_bursts.json,results/20260713_112236/dns_doq_1783934791.keylog,39372,0,3061,cold_start
dns,1783934827,twitter,social_media,x.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934827.pcap,1035,6.1065e-08,1.7281394999999998e-08,10,5,5,103.5,results/20260713_112236/dns_dns_1783934827_bursts.json,,0,420,615,cold_start
dns,1783934830,twitter,social_media,x.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934830.pcap,38998,2.300882e-06,6.51149606e-07,55,28,27,709.0545454545454,results/20260713_112236/dns_doh_1783934830_bursts.json,results/20260713_112236/dns_doh_1783934830.keylog,29990,4150,4858,cold_start
dns,1783934834,twitter,social_media,x.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934834.pcap,42216,2.490744e-06,7.04880552e-07,41,21,20,1029.658536585366,results/20260713_112236/dns_doq_1783934834_bursts.json,results/20260713_112236/dns_doq_1783934834.keylog,39269,0,2947,cold_start
dns,1783934870,youtube,streaming,youtube.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934870.pcap,1055,6.2245e-08,1.7615334999999997e-08,10,5,5,105.5,results/20260713_112236/dns_dns_1783934870_bursts.json,,0,420,635,cold_start
dns,1783934873,youtube,streaming,youtube.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934873.pcap,38868,2.2932120000000002e-06,6.48978996e-07,53,27,26,733.3584905660377,results/20260713_112236/dns_doh_1783934873_bursts.json,results/20260713_112236/dns_doh_1783934873.keylog,29988,4006,4874,cold_start
dns,1783934877,youtube,streaming,youtube.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934877.pcap,42244,2.4923960000000004e-06,7.05348068e-07,41,21,20,1030.341463414634,results/20260713_112236/dns_doq_1783934877_bursts.json,results/20260713_112236/dns_doq_1783934877.keylog,39269,0,2975,cold_start
dns,1783934914,webmd,health,webmd.com,dns,quad9,9.9.9.9,5,0,results/20260713_112236/dns_dns_1783934914.pcap,1045,6.1655e-08,1.7448365e-08,10,5,5,104.5,results/20260713_112236/dns_dns_1783934914_bursts.json,,0,420,625,cold_start
dns,1783934917,webmd,health,webmd.com,doh,quad9,dns.quad9.net,5,0,results/20260713_112236/dns_doh_1783934917.pcap,38871,2.2933890000000003e-06,6.49029087e-07,53,27,26,733.4150943396227,results/20260713_112236/dns_doh_1783934917_bursts.json,results/20260713_112236/dns_doh_1783934917.keylog,29989,4006,4876,cold_start
dns,1783934921,webmd,health,webmd.com,doq,quad9,9.9.9.9,5,0,results/20260713_112236/dns_doq_1783934921.pcap,42233,2.491747e-06,7.05164401e-07,41,21,20,1030.0731707317073,results/20260713_112236/dns_doq_1783934921_bursts.json,results/20260713_112236/dns_doq_1783934921.keylog,39268,0,2965,cold_start
