protocol,samples,avg_bytes,median_bytes,min_bytes,max_bytes,stdev_bytes,q1_bytes,q3_bytes,iqr_bytes,avg_energy_kwh,median_energy_kwh,min_energy_kwh,max_energy_kwh,stdev_energy_kwh,q1_energy_kwh,q3_energy_kwh,iqr_energy_kwh,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,stdev_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg,avg_bytes_per_query,median_bytes_per_query,min_bytes_per_query,max_bytes_per_query,stdev_bytes_per_query,q1_bytes_per_query,q3_bytes_per_query,iqr_bytes_per_query,avg_energy_kwh_per_query,median_energy_kwh_per_query,min_energy_kwh_per_query,max_energy_kwh_per_query,stdev_energy_kwh_per_query,q1_energy_kwh_per_query,q3_energy_kwh_per_query,iqr_energy_kwh_per_query,avg_co2_kg_per_query,median_co2_kg_per_query,min_co2_kg_per_query,max_co2_kg_per_query,stdev_co2_kg_per_query,q1_co2_kg_per_query,q3_co2_kg_per_query,iqr_co2_kg_per_query,avg_num_bursts,median_num_bursts,min_num_bursts,max_num_bursts,stdev_num_bursts,q1_num_bursts,q3_num_bursts,iqr_num_bursts,avg_avg_burst_bytes,median_avg_burst_bytes,min_avg_burst_bytes,max_avg_burst_bytes,stdev_avg_burst_bytes,q1_avg_burst_bytes,q3_avg_burst_bytes,iqr_avg_burst_bytes,avg_handshake_bytes,median_handshake_bytes,min_handshake_bytes,max_handshake_bytes,stdev_handshake_bytes,q1_handshake_bytes,q3_handshake_bytes,iqr_handshake_bytes,avg_control_bytes,median_control_bytes,min_control_bytes,max_control_bytes,stdev_control_bytes,q1_control_bytes,q3_control_bytes,iqr_control_bytes,avg_payload_bytes,median_payload_bytes,min_payload_bytes,max_payload_bytes,stdev_payload_bytes,q1_payload_bytes,q3_payload_bytes,iqr_payload_bytes
dns,100,1106.62,1101.5,820.0,1610.0,98.79626828105718,1038.5,1162.0,123.5,6.529058000000001e-08,6.498850000000001e-08,4.838000000000001e-08,9.499000000000002e-08,5.828979828582376e-09,6.127150000000001e-08,6.855800000000001e-08,7.286500000000004e-09,1.847723414e-08,1.83917455e-08,1.369154e-08,2.6882170000000003e-08,1.6496012914888121e-09,1.7339834499999997e-08,1.9401914000000003e-08,2.062079500000006e-09,221.32399999999998,220.3,164.0,322.0,19.75925365621144,207.7,232.39999999999998,24.69999999999999,1.3058116e-08,1.2997700000000002e-08,9.676000000000002e-09,1.8998000000000002e-08,1.165795965716475e-09,1.22543e-08,1.37116e-08,1.4573000000000007e-09,3.695446828e-09,3.6783491e-09,2.738308e-09,5.376434000000001e-09,3.2992025829776244e-10,3.4679668999999994e-09,3.8803828e-09,4.1241590000000087e-10,9.91,10.0,1.0,10.0,0.9,10.0,10.0,0.0,121.597,110.15,82.0,1215.0,110.88034451150438,103.85,116.19999999999999,12.349999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.1,420.0,420.0,630.0,21.0,420.0,420.0,0.0,684.52,679.0,400.0,1190.0,98.70110782999696,615.75,738.0,122.25
doh,100,11259.32,10078.5,9605.0,19556.0,1813.4412951372567,9831.25,13278.5,3447.25,6.6429988e-07,5.946315e-07,5.66695e-07,1.153804e-06,1.0699303641309814e-07,5.8004375e-07,7.834314999999999e-07,2.0338774999999986e-07,1.8799686604e-07,1.682807145e-07,1.6037468499999997e-07,3.2652653199999997e-07,3.027902930490677e-08,1.6415238124999998e-07,2.2171111449999998e-07,5.7558733250000005e-08,2251.864,2015.6999999999998,1921.0,3911.2,362.6882590274513,1966.25,2655.7000000000003,689.4500000000003,1.32859976e-07,1.189263e-07,1.1333899999999999e-07,2.307608e-07,2.139860728261963e-08,1.1600875000000001e-07,1.5668629999999998e-07,4.067754999999997e-08,3.7599373208e-08,3.36561429e-08,3.2074937e-08,6.530530639999999e-08,6.0558058609813544e-09,3.283047625e-08,4.4342222899999994e-08,1.1511746649999997e-08,21.01,21.0,17.0,29.0,2.1105554824368973,19.0,23.0,4.0,535.6585933119391,522.578947368421,427.2173913043478,709.3157894736842,60.91638041497919,477.2712215320911,582.2391304347826,104.96790890269153,7399.6,6179.5,5486.0,13816.0,1618.5766411987859,6161.0,9408.0,3247.0,1287.16,1250.0,1052.0,2230.0,187.8200686343666,1118.0,1418.0,300.0,2572.56,2541.5,2138.0,3510.0,211.92176562938207,2453.5,2612.5,159.0
doq,98,10926.367346938776,10331.5,10129.0,15806.0,1708.7114478807302,10258.75,10421.5,162.75,6.446556734693878e-07,6.095585000000001e-07,5.97611e-07,9.32554e-07,1.008139754249631e-07,6.052662499999999e-07,6.148685e-07,9.602250000000095e-09,1.8243755559183673e-07,1.725050555e-07,1.6912391299999998e-07,2.6391278199999997e-07,2.8530355045264556e-08,1.7129034874999996e-07,1.740077855e-07,2.717436750000033e-09,2185.273469387755,2066.3,2025.8,3161.2,341.74228957614605,2051.75,2084.3,32.55000000000018,1.2893113469387755e-07,1.219117e-07,1.195222e-07,1.8651079999999998e-07,2.016279508499262e-08,1.2105325e-07,1.229737e-07,1.920449999999998e-09,3.6487511118367344e-08,3.4501011099999994e-08,3.3824782599999994e-08,5.2782556399999994e-08,5.7060710090529105e-09,3.4258069749999996e-08,3.48015571e-08,5.434873500000026e-10,17.102040816326532,17.0,15.0,25.0,2.1752582305213495,15.0,17.0,2.0,638.7450442798892,611.7352941176471,538.1052631578947,752.6666666666666,45.400932339746234,603.9852941176471,685.8166666666666,81.83137254901953,8818.438775510203,8214.0,8213.0,13680.0,1708.1301591339036,8214.0,8215.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107.9285714285716,2100.5,1815.0,2737.0,113.59861059844397,2039.75,2170.5,130.75
