protocol,samples,avg_bytes,min_bytes,max_bytes,avg_energy_kwh,min_energy_kwh,max_energy_kwh,avg_co2_kg,min_co2_kg,max_co2_kg
dns,5,687.8,603.0,775.0,1.9105555555555556e-11,1.6749999999999997e-11,2.152777777777778e-11,7.642222222222222e-12,6.699999999999999e-12,8.611111111111112e-12
doh,5,31653.2,29870.0,34311.0,8.792555555555555e-10,8.297222222222222e-10,9.530833333333333e-10,3.517022222222222e-10,3.318888888888889e-10,3.8123333333333333e-10
doq,5,40682.2,39066.0,44165.0,1.130061111111111e-09,1.0851666666666666e-09,1.2268055555555554e-09,4.520244444444444e-10,4.3406666666666664e-10,4.907222222222222e-10
