site_label,samples,avg_pcap_bytes,min_pcap_bytes,max_pcap_bytes,avg_cdp_bytes,min_cdp_bytes,max_cdp_bytes,avg_overhead_bytes,min_overhead_bytes,max_overhead_bytes,avg_overhead_pct,min_overhead_pct,max_overhead_pct,avg_co2_kg,min_co2_kg,max_co2_kg,category
bbc,1,7788301.0,7788301.0,7788301.0,2513954.0,2513954.0,2513954.0,5274347.0,5274347.0,5274347.0,209.8028444434544,209.8028444434544,209.8028444434544,8.653667777777778e-08,8.653667777777778e-08,8.653667777777778e-08,news
github,1,1383070.0,1383070.0,1383070.0,4031146.0,4031146.0,4031146.0,-2648076.0,-2648076.0,-2648076.0,-65.69040168726214,-65.69040168726214,-65.69040168726214,1.5367444444444445e-08,1.5367444444444445e-08,1.5367444444444445e-08,developer
ietf,1,1352236.0,1352236.0,1352236.0,968920.0,968920.0,968920.0,383316.0,383316.0,383316.0,39.56116088015522,39.56116088015522,39.56116088015522,1.5024844444444445e-08,1.5024844444444445e-08,1.5024844444444445e-08,standards
python,1,4203032.0,4203032.0,4203032.0,511455.0,511455.0,511455.0,3691577.0,3691577.0,3691577.0,721.7794331857153,721.7794331857153,721.7794331857153,4.6700355555555555e-08,4.6700355555555555e-08,4.6700355555555555e-08,developer
wikipedia,1,3695924.0,3695924.0,3695924.0,102214.0,102214.0,102214.0,3593710.0,3593710.0,3593710.0,3515.8686676971847,3515.8686676971847,3515.8686676971847,4.1065822222222225e-08,4.1065822222222225e-08,4.1065822222222225e-08,knowledge
