origin_class,samples,avg_bytes,min_bytes,max_bytes,avg_pct_of_cdp_bytes,min_pct_of_cdp_bytes,max_pct_of_cdp_bytes
first_party,5,337077.6,102214.0,945930.0,55.85269251735224,3.599373478410358,100.0
third_party,3,2068864.0,112090.0,3886050.0,68.72142736866486,21.915906580246553,96.40062652158964
tracker_or_ads,3,78569.66666666667,22990.0,188718.0,4.85741843574808,2.3727449118606283,7.506819933857183
