protocol,samples,avg_bytes,median_bytes,min_bytes,max_bytes,stdev_bytes,q1_bytes,q3_bytes,iqr_bytes,avg_energy_kwh,median_energy_kwh,min_energy_kwh,max_energy_kwh,stdev_energy_kwh,q1_energy_kwh,q3_energy_kwh,iqr_energy_kwh,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,stdev_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg,avg_bytes_per_query,median_bytes_per_query,min_bytes_per_query,max_bytes_per_query,stdev_bytes_per_query,q1_bytes_per_query,q3_bytes_per_query,iqr_bytes_per_query,avg_energy_kwh_per_query,median_energy_kwh_per_query,min_energy_kwh_per_query,max_energy_kwh_per_query,stdev_energy_kwh_per_query,q1_energy_kwh_per_query,q3_energy_kwh_per_query,iqr_energy_kwh_per_query,avg_co2_kg_per_query,median_co2_kg_per_query,min_co2_kg_per_query,max_co2_kg_per_query,stdev_co2_kg_per_query,q1_co2_kg_per_query,q3_co2_kg_per_query,iqr_co2_kg_per_query,avg_num_bursts,median_num_bursts,min_num_bursts,max_num_bursts,stdev_num_bursts,q1_num_bursts,q3_num_bursts,iqr_num_bursts,avg_avg_burst_bytes,median_avg_burst_bytes,min_avg_burst_bytes,max_avg_burst_bytes,stdev_avg_burst_bytes,q1_avg_burst_bytes,q3_avg_burst_bytes,iqr_avg_burst_bytes,avg_handshake_bytes,median_handshake_bytes,min_handshake_bytes,max_handshake_bytes,stdev_handshake_bytes,q1_handshake_bytes,q3_handshake_bytes,iqr_handshake_bytes,avg_control_bytes,median_control_bytes,min_control_bytes,max_control_bytes,stdev_control_bytes,q1_control_bytes,q3_control_bytes,iqr_control_bytes,avg_payload_bytes,median_payload_bytes,min_payload_bytes,max_payload_bytes,stdev_payload_bytes,q1_payload_bytes,q3_payload_bytes,iqr_payload_bytes
dns,100,1106.32,1102.0,818.0,1610.0,98.82091546496285,1036.5,1162.5,126.0,6.527288e-08,6.501800000000001e-08,4.8262000000000006e-08,9.499000000000002e-08,5.83043401243281e-09,6.115349999999999e-08,6.858750000000002e-08,7.434000000000025e-09,1.847222504e-08,1.8400094000000003e-08,1.3658146e-08,2.6882170000000003e-08,1.650012825518485e-09,1.7306440499999996e-08,1.9410262500000002e-08,2.1038220000000063e-09,221.264,220.4,163.6,322.0,19.76418309299257,207.29999999999998,232.5,25.200000000000017,1.3054576e-08,1.3003600000000002e-08,9.652400000000001e-09,1.8998000000000002e-08,1.1660868024865619e-09,1.2230699999999999e-08,1.3717500000000002e-08,1.4868000000000028e-09,3.694445008e-09,3.6800188000000003e-09,2.7316292e-09,5.376434000000001e-09,3.30002565103697e-10,3.461288099999999e-09,3.882052500000001e-09,4.207644000000015e-10,9.91,10.0,1.0,10.0,0.9,10.0,10.0,0.0,121.567,110.2,81.8,1215.0,110.88355258257796,103.64999999999999,116.25,12.600000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.1,420.0,420.0,630.0,21.0,420.0,420.0,0.0,684.22,678.5,398.0,1190.0,98.71933279083012,615.25,735.0,119.75
doh,100,44006.11,43304.0,39580.0,66771.0,3919.861237223954,43027.25,43548.5,521.25,2.5963604900000003e-06,2.554936e-06,2.3352200000000002e-06,3.939489e-06,2.312718129962133e-07,2.53860775e-06,2.569361500000001e-06,3.075375000000077e-08,7.3477001867e-07,7.230468879999999e-07,6.6086726e-07,1.1148753869999999e-06,6.544992307792836e-08,7.1842599325e-07,7.271293045e-07,8.703311250000039e-09,8801.222,8660.8,7916.0,13354.2,783.9722474447909,8605.449999999999,8709.7,104.25000000000182,5.192720980000001e-07,5.109872e-07,4.6704400000000004e-07,7.878978e-07,4.625436259924266e-08,5.077215500000001e-07,5.138723000000002e-07,6.150750000000112e-09,1.46954003734e-07,1.4460937759999998e-07,1.32173452e-07,2.2297507739999996e-07,1.308998461558567e-08,1.4368519865000002e-07,1.4542586090000002e-07,1.7406622500000078e-09,57.12,57.0,41.0,67.0,4.365336369188704,55.0,61.0,6.0,773.5477492269581,761.2963562753037,635.6349206349206,1094.6065573770493,76.43624853030286,716.6347414880202,815.8537735849055,99.21903209688537,34291.39,34053.0,29455.0,50967.0,3248.7998060356026,33378.0,34091.75,713.75,4528.64,4393.0,3886.0,8934.0,552.7258351921763,4306.0,4591.0,285.0,5186.08,4899.5,4446.0,7688.0,606.9943450720896,4783.25,5482.25,699.0
doq,99,46410.50505050505,44192.0,43804.0,54994.0,3068.976337922685,44043.0,49412.0,5369.0,2.738219797979798e-06,2.6073280000000004e-06,2.584436e-06,3.2446460000000002e-06,1.8106960393743842e-07,2.598537e-06,2.915308e-06,3.167709999999999e-07,7.749162028282828e-07,7.378738240000001e-07,7.313953879999999e-07,9.182348179999999e-07,5.124269791429507e-08,7.35385971e-07,8.250321639999999e-07,8.964619299999991e-08,9282.10101010101,8838.4,8760.8,10998.8,613.795267584537,8808.6,9882.4,1073.7999999999993,5.476439595959596e-07,5.214656e-07,5.168872e-07,6.489292000000001e-07,3.6213920787487686e-08,5.197074e-07,5.830616e-07,6.335419999999998e-08,1.5498324056565657e-07,1.4757476480000003e-07,1.4627907759999997e-07,1.836469636e-07,1.0248539582859015e-08,1.470771942e-07,1.6500643279999998e-07,1.7929238599999988e-08,40.81818181818182,41.0,31.0,51.0,4.491178737970773,39.0,43.0,4.0,1145.5853861978278,1128.5384615384614,1007.1632653061224,1423.2903225806451,98.4796976976242,1073.4634146341464,1192.945945945946,119.48253131179968,43399.69696969697,41073.0,41067.0,51950.0,3047.0865156352606,41070.0,46434.0,5364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3010.808080808081,3003.0,2735.0,3524.0,102.54801531106442,2947.0,3066.0,119.0
